nome_municipio,mes_nome,ano,n_eventos
Itapoá,Jun,2023,1
Itapoá,Ago,2022,1
Itapoá,Set,2021,1
Itapoá,Out,1991,1
Itapoá,Out,2022,1
Itapoá,Out,2023,1
Itapoá,Nov,2008,1
Itapoá,Nov,2017,1
Itapoá,Nov,2022,1
Itapoá,Dez,2021,1
Itapoá,Dez,2022,1
Jaguaruna,Jan,2009,1
Jaguaruna,Jan,2011,1
Jaguaruna,Jan,2017,1
Jaguaruna,Mai,2004,1
Jaguaruna,Mai,2010,1
Jaguaruna,Mai,2019,1
Jaguaruna,Mai,2022,1
Jaguaruna,Jun,2017,1
Jaguaruna,Jul,2021,1
Jaguaruna,Jul,2024,1
Jaguaruna,Ago,2011,1
Jaguaruna,Ago,2022,1
Jaguaruna,Out,2021,1
Jaguaruna,Out,2023,2
Jaguaruna,Nov,2022,1
Joinville,Jan,1999,1
Joinville,Jan,2002,1
Joinville,Jan,2003,1
Joinville,Jan,2010,1
Joinville,Jan,2011,1
Joinville,Jan,2016,1
Joinville,Jan,2017,2
Joinville,Jan,2018,1
Joinville,Jan,2021,1
Joinville,Jan,2023,2
Joinville,Jan,2024,2
Joinville,Fev,1995,1
Joinville,Fev,2001,1
Joinville,Fev,2007,1
Joinville,Fev,2008,1
Joinville,Fev,2020,1
Joinville,Fev,2023,1
Joinville,Fev,2024,1
Joinville,Mar,1994,1
Joinville,Mar,2010,1
Joinville,Mar,2011,1
Joinville,Mar,2015,1
Joinville,Mar,2019,1
Joinville,Mai,2017,1
Joinville,Jul,1995,1
Joinville,Jul,2024,1
Joinville,Ago,1998,1
Joinville,Ago,2022,1
Joinville,Set,2011,1
Joinville,Set,2013,1
Joinville,Set,2017,1
Joinville,Out,2023,1
Joinville,Nov,2006,1
Joinville,Nov,2008,1
Joinville,Nov,2015,1
Joinville,Nov,2016,1
Joinville,Nov,2022,1
Joinville,Dez,2020,1
Joinville,Dez,2021,1
Joinville,Dez,2022,1
Joinville,Dez,2024,1
Laguna,Jan,2009,1
Laguna,Mar,1996,1
Laguna,Abr,2001,1
Laguna,Mai,2004,1
Laguna,Mai,2019,1
Laguna,Jun,2021,1
Laguna,Ago,2011,1
Laguna,Set,2004,1
Laguna,Out,2023,1
Laguna,Dez,2016,1
Laguna,Dez,2022,2
Navegantes,Jan,2008,1
Navegantes,Jan,2018,1
Navegantes,Jan,2019,1
Navegantes,Fev,2019,1
Navegantes,Fev,2020,1
Navegantes,Mar,1992,1
Navegantes,Mar,2002,1
Navegantes,Abr,2009,1
Navegantes,Abr,2010,1
Navegantes,Jun,2020,1
Navegantes,Set,2009,1
Navegantes,Set,2011,1
Navegantes,Out,2001,1
Navegantes,Out,2023,1
Navegantes,Nov,2003,1
Navegantes,Nov,2008,1
Navegantes,Dez,2022,1
Palhoça,Jan,1997,1
Palhoça,Jan,2008,1
Palhoça,Jan,2011,1
Palhoça,Jan,2021,1
Palhoça,Fev,2001,1
Palhoça,Fev,2005,1
Palhoça,Mar,1996,1
Palhoça,Mar,2010,1
Palhoça,Abr,2024,1
Palhoça,Jun,2021,1
Palhoça,Set,2011,1
Palhoça,Out,2001,1
Palhoça,Out,2021,1
Palhoça,Out,2023,1
Palhoça,Nov,1991,1
Palhoça,Nov,2008,1
Palhoça,Nov,2023,1
Palhoça,Dez,1995,1
Palhoça,Dez,2020,1
Palhoça,Dez,2022,1
Passo de Torres,Fev,2014,1
Passo de Torres,Mai,2004,1
Passo de Torres,Mai,2022,1
Passo de Torres,Mai,2024,1
Passo de Torres,Set,1998,1
Passo de Torres,Set,2009,1
Passo de Torres,Out,2013,1
Passo de Torres,Nov,1993,1
Passo de Torres,Nov,2023,1
Passo de Torres,Dez,1995,1
Penha,Jan,2008,1
Penha,Jan,2013,1
Penha,Jan,2017,2
Penha,Jan,2018,1
Penha,Jan,2019,1
Penha,Jan,2022,1
Penha,Fev,2011,1
Penha,Fev,2019,1
Penha,Fev,2020,1
Penha,Abr,2010,1
Penha,Abr,2016,1
Penha,Mai,2017,2
Penha,Set,2011,2
Penha,Nov,2008,1
Penha,Nov,2018,2
Penha,Dez,2022,1
Pescaria Brava,Abr,2018,1
Pescaria Brava,Mai,2015,1
Pescaria Brava,Mai,2019,1
Pescaria Brava,Jun,2021,1
Pescaria Brava,Set,2013,1
Pescaria Brava,Out,2023,1
Porto Belo,Jan,2011,1
Porto Belo,Jan,2018,1
Porto Belo,Jan,2019,1
Porto Belo,Jan,2020,1
Porto Belo,Jan,2021,1
Porto Belo,Fev,2000,1
Porto Belo,Fev,2019,1
Porto Belo,Fev,2021,1
Porto Belo,Mar,2004,1
Porto Belo,Mar,2016,1
Porto Belo,Mar,2018,1
Porto Belo,Mar,2021,1
Porto Belo,Mar,2022,1
Porto Belo,Mar,2023,1
Porto Belo,Abr,2004,1
Porto Belo,Abr,2017,1
