nome_municipio,ano,categoria_evento,n_eventos
São José,2011,Inundações,2
São José,2016,Chuvas Intensas,1
São José,2019,Enxurradas,1
São José,2022,Chuvas Intensas,1
São João do Sul,1993,Enxurradas,1
São João do Sul,2000,Enxurradas,1
São João do Sul,2001,Enxurradas,1
São João do Sul,2004,Inundações,1
São João do Sul,2007,Enxurradas,1
São João do Sul,2008,Enxurradas,1
São João do Sul,2009,Enxurradas,1
São João do Sul,2010,Enxurradas,1
São João do Sul,2011,Enxurradas,1
São João do Sul,2015,Enxurradas,1
São João do Sul,2020,Enxurradas,1
São João do Sul,2021,Alagamentos,1
São João do Sul,2021,Chuvas Intensas,1
São João do Sul,2021,Movimento de Massa,1
São João do Sul,2022,Alagamentos,1
São João do Sul,2023,Chuvas Intensas,5
São João do Sul,2024,Chuvas Intensas,3
Tijucas,2001,Inundações,1
Tijucas,2008,Enxurradas,2
Tijucas,2010,Enxurradas,1
Tijucas,2011,Enxurradas,2
Tijucas,2011,Inundações,1
Tijucas,2013,Alagamentos,1
Tijucas,2021,Chuvas Intensas,1
Tijucas,2022,Chuvas Intensas,4
Tijucas,2023,Chuvas Intensas,1
